                                                             9 Jul 2020 11:53:42
Sensor-Camera


      Time (UTCG)          processing_integral (HMS)    processing_integral Rate
1 Jul 2020 10:13:20.000                -00:18:11.246                    0.000000
1 Jul 2020 10:13:30.000                -00:18:11.246                    0.000000
1 Jul 2020 10:13:40.000                -00:18:11.246                    0.000000
1 Jul 2020 10:13:50.000                -00:18:11.246                    0.000000
1 Jul 2020 10:14:00.000                -00:19:50.753                  -12.000000
1 Jul 2020 10:14:10.000                -00:21:50.753                  -12.000000
1 Jul 2020 10:14:20.000                -00:23:50.753                  -12.000000
1 Jul 2020 10:14:30.000                -00:25:50.753                  -12.000000
1 Jul 2020 10:14:40.000                -00:27:50.753                  -12.000000
1 Jul 2020 10:14:50.000                -00:29:50.753                  -12.000000
1 Jul 2020 10:15:00.000                -00:31:50.753                  -12.000000
1 Jul 2020 10:15:10.000                -00:33:50.753                  -12.000000
1 Jul 2020 10:15:20.000                -00:35:50.753                  -12.000000
1 Jul 2020 10:15:30.000                -00:37:50.753                  -12.000000
1 Jul 2020 10:15:40.000                -00:39:50.753                  -12.000000
1 Jul 2020 10:15:50.000                -00:41:50.753                  -12.000000
1 Jul 2020 10:16:00.000                -00:43:50.753                  -12.000000
1 Jul 2020 10:16:10.000                -00:45:50.753                  -12.000000
1 Jul 2020 10:16:20.000                -00:47:50.753                  -12.000000
1 Jul 2020 10:16:30.000                -00:49:50.753                  -12.000000
1 Jul 2020 10:16:40.000                -00:51:50.753                  -12.000000
1 Jul 2020 10:16:50.000                -00:53:50.753                  -12.000000
1 Jul 2020 10:17:00.000                -00:55:50.753                  -12.000000
1 Jul 2020 10:17:10.000                -00:57:50.753                  -12.000000
1 Jul 2020 10:17:20.000                -00:59:50.753                  -12.000000
1 Jul 2020 10:17:30.000                -01:01:50.753                  -12.000000
1 Jul 2020 10:17:40.000                -01:03:50.753                  -12.000000
1 Jul 2020 10:17:50.000                -01:05:50.753                  -12.000000
1 Jul 2020 10:18:00.000                -01:07:50.753                  -12.000000
1 Jul 2020 10:18:10.000                -01:09:50.753                  -12.000000
1 Jul 2020 10:18:20.000                -01:11:50.753                  -12.000000
1 Jul 2020 10:18:30.000                -01:13:50.753                  -12.000000
1 Jul 2020 10:18:40.000                -01:15:50.753                  -12.000000
1 Jul 2020 10:18:50.000                -01:17:50.753                  -12.000000
1 Jul 2020 10:19:00.000                -01:19:50.753                  -12.000000
1 Jul 2020 10:19:10.000                -01:21:50.753                  -12.000000
1 Jul 2020 10:19:20.000                -01:23:50.753                  -12.000000
1 Jul 2020 10:19:30.000                -01:25:50.753                  -12.000000
1 Jul 2020 10:19:40.000                -01:27:50.753                  -12.000000
1 Jul 2020 10:19:50.000                -01:29:50.753                  -12.000000
1 Jul 2020 10:20:00.000                -01:31:50.753                  -12.000000
1 Jul 2020 10:20:10.000                -01:33:50.753                  -12.000000
1 Jul 2020 10:20:20.000                -01:35:50.753                  -12.000000
1 Jul 2020 10:20:30.000                -01:36:32.968                    0.000000
1 Jul 2020 10:20:40.000                -01:36:32.968                    0.000000
1 Jul 2020 10:20:50.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:00.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:10.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:20.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:30.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:40.000                -01:36:32.968                    0.000000
1 Jul 2020 10:21:50.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:00.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:10.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:20.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:30.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:40.000                -01:36:32.968                    0.000000
1 Jul 2020 10:22:50.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:00.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:10.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:20.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:30.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:40.000                -01:36:32.968                    0.000000
1 Jul 2020 10:23:50.000                -01:36:32.968                    0.000000
1 Jul 2020 10:24:00.000                -01:36:32.968                    0.000000
1 Jul 2020 10:24:10.000                -01:36:42.608                  -12.000000
1 Jul 2020 10:24:20.000                -01:38:42.608                  -12.000000
1 Jul 2020 10:24:30.000                -01:40:42.608                  -12.000000
1 Jul 2020 10:24:40.000                -01:42:42.608                  -12.000000
1 Jul 2020 10:24:50.000                -01:44:42.608                  -12.000000
1 Jul 2020 10:25:00.000                -01:46:42.608                  -12.000000
1 Jul 2020 10:25:10.000                -01:48:42.608                  -12.000000
1 Jul 2020 10:25:20.000                -01:50:42.608                  -12.000000
1 Jul 2020 10:25:30.000                -01:52:42.608                  -12.000000
1 Jul 2020 10:25:40.000                -01:54:42.608                  -12.000000
1 Jul 2020 10:25:50.000                -01:56:42.608                  -12.000000
1 Jul 2020 10:26:00.000                -01:58:42.608                  -12.000000
1 Jul 2020 10:26:10.000                -02:00:42.608                  -12.000000
1 Jul 2020 10:26:20.000                -02:02:42.608                  -12.000000
1 Jul 2020 10:26:30.000                -02:04:42.608                  -12.000000
1 Jul 2020 10:26:40.000                -02:06:42.608                  -12.000000
1 Jul 2020 10:26:50.000                -02:08:42.608                  -12.000000
1 Jul 2020 10:27:00.000                -02:10:42.608                  -12.000000
1 Jul 2020 10:27:10.000                -02:12:42.608                  -12.000000
1 Jul 2020 10:27:20.000                -02:14:42.608                  -12.000000
1 Jul 2020 10:27:30.000                -02:16:42.608                  -12.000000
1 Jul 2020 10:27:40.000                -02:18:42.608                  -12.000000
1 Jul 2020 10:27:50.000                -02:20:42.608                  -12.000000
1 Jul 2020 10:28:00.000                -02:22:42.608                  -12.000000
1 Jul 2020 10:28:10.000                -02:24:42.608                  -12.000000
1 Jul 2020 10:28:20.000                -02:26:42.608                  -12.000000
1 Jul 2020 10:28:30.000                -02:28:42.608                  -12.000000
1 Jul 2020 10:28:40.000                -02:29:37.461                    0.000000
1 Jul 2020 10:28:50.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:00.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:10.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:20.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:30.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:40.000                -02:29:37.461                    0.000000
1 Jul 2020 10:29:50.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:00.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:10.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:20.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:30.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:40.000                -02:29:37.461                    0.000000
1 Jul 2020 10:30:50.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:00.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:10.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:20.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:30.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:40.000                -02:29:37.461                    0.000000
1 Jul 2020 10:31:50.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:00.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:10.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:20.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:30.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:40.000                -02:29:37.461                    0.000000
1 Jul 2020 10:32:50.000                -02:29:37.461                    0.000000
1 Jul 2020 10:33:00.000                -02:29:50.681                  -12.000000
1 Jul 2020 10:33:10.000                -02:31:50.681                  -12.000000
1 Jul 2020 10:33:20.000                -02:33:50.681                  -12.000000
1 Jul 2020 10:33:30.000                -02:35:50.681                  -12.000000
1 Jul 2020 10:33:40.000                -02:37:50.681                  -12.000000
1 Jul 2020 10:33:50.000                -02:39:50.681                  -12.000000
1 Jul 2020 10:34:00.000                -02:41:50.681                  -12.000000
1 Jul 2020 10:34:10.000                -02:43:50.681                  -12.000000
1 Jul 2020 10:34:20.000                -02:45:50.681                  -12.000000
1 Jul 2020 10:34:30.000                -02:47:50.681                  -12.000000
1 Jul 2020 10:34:40.000                -02:49:50.681                  -12.000000
1 Jul 2020 10:34:50.000                -02:51:50.681                  -12.000000
1 Jul 2020 10:35:00.000                -02:53:50.681                  -12.000000
1 Jul 2020 10:35:10.000                -02:55:50.681                  -12.000000
1 Jul 2020 10:35:20.000                -02:57:50.681                  -12.000000
1 Jul 2020 10:35:30.000                -02:59:50.681                  -12.000000
1 Jul 2020 10:35:40.000                -03:01:50.681                  -12.000000
1 Jul 2020 10:35:50.000                -03:03:50.681                  -12.000000
1 Jul 2020 10:36:00.000                -03:05:50.681                  -12.000000
1 Jul 2020 10:36:10.000                -03:07:50.681                  -12.000000
1 Jul 2020 10:36:20.000                -03:09:50.681                  -12.000000
1 Jul 2020 10:36:30.000                -03:11:50.681                  -12.000000
1 Jul 2020 10:36:40.000                -03:13:50.681                  -12.000000
1 Jul 2020 10:36:50.000                -03:15:50.681                  -12.000000
1 Jul 2020 10:37:00.000                -03:17:50.681                  -12.000000
1 Jul 2020 10:37:10.000                -03:19:50.681                  -12.000000
1 Jul 2020 10:37:20.000                -03:21:50.681                  -12.000000
1 Jul 2020 10:37:30.000                -03:23:50.681                  -12.000000
1 Jul 2020 10:37:40.000                -03:25:50.681                  -12.000000
1 Jul 2020 10:37:50.000                -03:27:50.681                  -12.000000
1 Jul 2020 10:38:00.000                -03:29:50.681                  -12.000000
1 Jul 2020 10:38:10.000                -03:31:50.681                  -12.000000
1 Jul 2020 10:38:20.000                -03:33:50.681                  -12.000000
1 Jul 2020 10:38:30.000                -03:35:50.681                  -12.000000
1 Jul 2020 10:38:40.000                -03:37:50.681                  -12.000000
1 Jul 2020 10:38:50.000                -03:39:50.681                  -12.000000
1 Jul 2020 10:39:00.000                -03:41:50.681                  -12.000000
1 Jul 2020 10:39:10.000                -03:43:50.681                  -12.000000
1 Jul 2020 10:39:20.000                -03:45:50.681                  -12.000000
1 Jul 2020 10:39:30.000                -03:47:50.681                  -12.000000
1 Jul 2020 10:39:40.000                -03:49:50.681                  -12.000000
1 Jul 2020 10:39:50.000                -03:51:50.681                  -12.000000
1 Jul 2020 10:40:00.000                -03:53:50.681                  -12.000000
1 Jul 2020 10:40:10.000                -03:55:50.681                  -12.000000
1 Jul 2020 10:40:20.000                -03:57:50.681                  -12.000000
1 Jul 2020 10:40:30.000                -03:59:50.681                  -12.000000
1 Jul 2020 10:40:40.000                -04:01:50.681                  -12.000000
1 Jul 2020 10:40:50.000                -04:03:50.681                  -12.000000
1 Jul 2020 10:41:00.000                -04:05:50.681                  -12.000000
1 Jul 2020 10:41:10.000                -04:07:50.681                  -12.000000
1 Jul 2020 10:41:20.000                -04:09:50.681                  -12.000000
1 Jul 2020 10:41:30.000                -04:11:50.681                  -12.000000
1 Jul 2020 10:41:40.000                -04:13:50.681                  -12.000000
1 Jul 2020 10:41:50.000                -04:15:50.681                  -12.000000
1 Jul 2020 10:42:00.000                -04:17:50.681                  -12.000000
1 Jul 2020 10:42:10.000                -04:19:50.681                  -12.000000
1 Jul 2020 10:42:20.000                -04:21:50.681                  -12.000000
1 Jul 2020 10:42:30.000                -04:23:50.681                  -12.000000
1 Jul 2020 10:42:40.000                -04:25:50.681                  -12.000000
1 Jul 2020 10:42:50.000                -04:27:50.681                  -12.000000
1 Jul 2020 10:43:00.000                -04:29:50.681                  -12.000000
1 Jul 2020 10:43:10.000                -04:31:50.681                  -12.000000
1 Jul 2020 10:43:20.000                -04:33:50.681                  -12.000000
1 Jul 2020 10:43:30.000                -04:35:50.681                  -12.000000
1 Jul 2020 10:43:40.000                -04:37:50.681                  -12.000000
1 Jul 2020 10:43:50.000                -04:39:50.681                  -12.000000
1 Jul 2020 10:44:00.000                -04:41:50.681                  -12.000000
1 Jul 2020 10:44:10.000                -04:43:50.681                  -12.000000
1 Jul 2020 10:44:20.000                -04:45:50.681                  -12.000000
1 Jul 2020 10:44:30.000                -04:47:50.681                  -12.000000
1 Jul 2020 10:44:40.000                -04:49:50.681                  -12.000000
1 Jul 2020 10:44:50.000                -04:51:50.681                  -12.000000
1 Jul 2020 10:45:00.000                -04:53:50.681                  -12.000000
1 Jul 2020 10:45:10.000                -04:55:50.681                  -12.000000
1 Jul 2020 10:45:20.000                -04:57:50.681                  -12.000000
1 Jul 2020 10:45:30.000                -04:59:50.681                  -12.000000
1 Jul 2020 10:45:40.000                -05:01:50.681                  -12.000000
1 Jul 2020 10:45:50.000                -05:03:50.681                  -12.000000
1 Jul 2020 10:46:00.000                -05:05:50.681                  -12.000000
1 Jul 2020 10:46:10.000                -05:07:50.681                  -12.000000
1 Jul 2020 10:46:20.000                -05:09:50.681                  -12.000000
1 Jul 2020 10:46:30.000                -05:11:50.681                  -12.000000
1 Jul 2020 10:46:40.000                -05:13:50.681                  -12.000000
1 Jul 2020 10:46:50.000                -05:15:50.681                  -12.000000
1 Jul 2020 10:47:00.000                -05:17:50.681                  -12.000000
1 Jul 2020 10:47:10.000                -05:19:50.681                  -12.000000
1 Jul 2020 10:47:20.000                -05:21:50.681                  -12.000000
1 Jul 2020 10:47:30.000                -05:23:50.681                  -12.000000
1 Jul 2020 10:47:40.000                -05:25:50.681                  -12.000000
1 Jul 2020 10:47:50.000                -05:27:50.681                  -12.000000
1 Jul 2020 10:48:00.000                -05:29:50.681                  -12.000000
1 Jul 2020 10:48:10.000                -05:31:50.681                  -12.000000
1 Jul 2020 10:48:20.000                -05:33:50.681                  -12.000000
1 Jul 2020 10:48:30.000                -05:35:50.681                  -12.000000
1 Jul 2020 10:48:40.000                -05:37:50.681                  -12.000000
1 Jul 2020 10:48:50.000                -05:39:50.681                  -12.000000
1 Jul 2020 10:49:00.000                -05:41:50.681                  -12.000000
1 Jul 2020 10:49:10.000                -05:43:50.681                  -12.000000
1 Jul 2020 10:49:20.000                -05:45:50.681                  -12.000000
1 Jul 2020 10:49:30.000                -05:47:50.681                  -12.000000
1 Jul 2020 10:49:40.000                -05:49:50.681                  -12.000000
1 Jul 2020 10:49:50.000                -05:51:50.681                  -12.000000
1 Jul 2020 10:50:00.000                -05:53:50.681                  -12.000000
1 Jul 2020 10:50:10.000                -05:55:50.681                  -12.000000
1 Jul 2020 10:50:20.000                -05:57:50.681                  -12.000000
1 Jul 2020 10:50:30.000                -05:59:50.681                  -12.000000
1 Jul 2020 10:50:40.000                -06:01:50.681                  -12.000000
1 Jul 2020 10:50:50.000                -06:03:50.681                  -12.000000
1 Jul 2020 10:51:00.000                -06:05:50.681                  -12.000000
1 Jul 2020 10:51:10.000                -06:07:50.681                  -12.000000
1 Jul 2020 10:51:20.000                -06:09:50.681                  -12.000000
1 Jul 2020 10:51:30.000                -06:11:50.681                  -12.000000
1 Jul 2020 10:51:40.000                -06:13:50.681                  -12.000000
1 Jul 2020 10:51:50.000                -06:15:50.681                  -12.000000
1 Jul 2020 10:52:00.000                -06:17:50.681                  -12.000000
1 Jul 2020 10:52:10.000                -06:19:50.681                  -12.000000
1 Jul 2020 10:52:20.000                -06:21:50.681                  -12.000000
1 Jul 2020 10:52:30.000                -06:23:50.681                  -12.000000
1 Jul 2020 10:52:40.000                -06:25:50.681                  -12.000000
1 Jul 2020 10:52:50.000                -06:27:50.681                  -12.000000
1 Jul 2020 10:53:00.000                -06:29:50.681                  -12.000000
1 Jul 2020 10:53:10.000                -06:31:50.681                  -12.000000
1 Jul 2020 10:53:20.000                -06:33:50.681                  -12.000000
1 Jul 2020 10:53:30.000                -06:35:50.681                  -12.000000
1 Jul 2020 10:53:40.000                -06:37:50.681                  -12.000000
1 Jul 2020 10:53:50.000                -06:39:50.681                  -12.000000
1 Jul 2020 10:54:00.000                -06:41:50.681                  -12.000000
1 Jul 2020 10:54:10.000                -06:43:50.681                  -12.000000
1 Jul 2020 10:54:20.000                -06:45:50.681                  -12.000000
1 Jul 2020 10:54:30.000                -06:47:50.681                  -12.000000
1 Jul 2020 10:54:40.000                -06:49:50.681                  -12.000000
1 Jul 2020 10:54:50.000                -06:51:50.681                  -12.000000
1 Jul 2020 10:55:00.000                -06:53:50.681                  -12.000000
1 Jul 2020 10:55:10.000                -06:55:50.681                  -12.000000
1 Jul 2020 10:55:20.000                -06:57:50.681                  -12.000000
1 Jul 2020 10:55:30.000                -06:59:50.681                  -12.000000
1 Jul 2020 10:55:40.000                -07:01:50.681                  -12.000000
1 Jul 2020 10:55:50.000                -07:03:50.681                  -12.000000
1 Jul 2020 10:56:00.000                -07:05:50.681                  -12.000000
1 Jul 2020 10:56:10.000                -07:07:50.681                  -12.000000
1 Jul 2020 10:56:20.000                -07:09:50.681                  -12.000000
1 Jul 2020 10:56:30.000                -07:11:50.681                  -12.000000
1 Jul 2020 10:56:40.000                -07:13:50.681                  -12.000000
1 Jul 2020 10:56:50.000                -07:15:50.681                  -12.000000
1 Jul 2020 10:57:00.000                -07:17:50.681                  -12.000000
1 Jul 2020 10:57:10.000                -07:19:50.681                  -12.000000
1 Jul 2020 10:57:20.000                -07:21:50.681                  -12.000000
1 Jul 2020 10:57:30.000                -07:23:50.681                  -12.000000
1 Jul 2020 10:57:40.000                -07:25:50.681                  -12.000000
1 Jul 2020 10:57:50.000                -07:27:50.681                  -12.000000
1 Jul 2020 10:58:00.000                -07:29:50.681                  -12.000000
1 Jul 2020 10:58:10.000                -07:31:50.681                  -12.000000
1 Jul 2020 10:58:20.000                -07:33:50.681                  -12.000000
1 Jul 2020 10:58:30.000                -07:35:50.681                  -12.000000
1 Jul 2020 10:58:40.000                -07:37:50.681                  -12.000000
1 Jul 2020 10:58:50.000                -07:39:50.681                  -12.000000
1 Jul 2020 10:59:00.000                -07:41:50.681                  -12.000000
1 Jul 2020 10:59:10.000                -07:43:50.681                  -12.000000
1 Jul 2020 10:59:20.000                -07:45:50.681                  -12.000000
1 Jul 2020 10:59:30.000                -07:47:50.681                  -12.000000
1 Jul 2020 10:59:40.000                -07:49:50.681                  -12.000000
1 Jul 2020 10:59:50.000                -07:51:50.681                  -12.000000
1 Jul 2020 11:00:00.000                -07:53:50.681                  -12.000000
1 Jul 2020 11:00:10.000                -07:55:50.681                  -12.000000
1 Jul 2020 11:00:20.000                -07:57:50.681                  -12.000000
1 Jul 2020 11:00:30.000                -07:59:50.681                  -12.000000
1 Jul 2020 11:00:40.000                -08:01:50.681                  -12.000000
1 Jul 2020 11:00:50.000                -08:03:50.681                  -12.000000
1 Jul 2020 11:01:00.000                -08:05:50.681                  -12.000000
1 Jul 2020 11:01:10.000                -08:07:50.681                  -12.000000
1 Jul 2020 11:01:20.000                -08:09:50.681                  -12.000000
1 Jul 2020 11:01:30.000                -08:11:50.681                  -12.000000
1 Jul 2020 11:01:40.000                -08:13:50.681                  -12.000000
1 Jul 2020 11:01:50.000                -08:15:50.681                  -12.000000
1 Jul 2020 11:02:00.000                -08:17:50.681                  -12.000000
1 Jul 2020 11:02:10.000                -08:19:50.681                  -12.000000
1 Jul 2020 11:02:20.000                -08:21:50.681                  -12.000000
1 Jul 2020 11:02:30.000                -08:23:50.681                  -12.000000
1 Jul 2020 11:02:40.000                -08:25:50.681                  -12.000000
1 Jul 2020 11:02:50.000                -08:27:50.681                  -12.000000
1 Jul 2020 11:03:00.000                -08:29:50.681                  -12.000000
1 Jul 2020 11:03:10.000                -08:31:50.681                  -12.000000
1 Jul 2020 11:03:20.000                -08:33:50.681                  -12.000000
1 Jul 2020 11:03:30.000                -08:35:50.681                  -12.000000
1 Jul 2020 11:03:40.000                -08:37:50.681                  -12.000000
1 Jul 2020 11:03:50.000                -08:39:50.681                  -12.000000
1 Jul 2020 11:04:00.000                -08:41:50.681                  -12.000000
1 Jul 2020 11:04:10.000                -08:43:50.681                  -12.000000
1 Jul 2020 11:04:20.000                -08:45:50.681                  -12.000000
1 Jul 2020 11:04:30.000                -08:47:50.681                  -12.000000
1 Jul 2020 11:04:40.000                -08:49:50.681                  -12.000000
1 Jul 2020 11:04:50.000                -08:51:50.681                  -12.000000
1 Jul 2020 11:05:00.000                -08:53:50.681                  -12.000000
1 Jul 2020 11:05:10.000                -08:55:50.681                  -12.000000
1 Jul 2020 11:05:20.000                -08:57:50.681                  -12.000000
1 Jul 2020 11:05:30.000                -08:59:50.681                  -12.000000
1 Jul 2020 11:05:40.000                -09:01:50.681                  -12.000000
1 Jul 2020 11:05:50.000                -09:03:50.681                  -12.000000
1 Jul 2020 11:06:00.000                -09:05:50.681                  -12.000000
1 Jul 2020 11:06:10.000                -09:07:50.681                  -12.000000
1 Jul 2020 11:06:20.000                -09:09:50.681                  -12.000000
1 Jul 2020 11:06:30.000                -09:11:50.681                  -12.000000
1 Jul 2020 11:06:40.000                -09:13:50.681                  -12.000000
1 Jul 2020 11:06:50.000                -09:15:50.681                  -12.000000
1 Jul 2020 11:07:00.000                -09:17:50.681                  -12.000000
1 Jul 2020 11:07:10.000                -09:19:50.681                  -12.000000
1 Jul 2020 11:07:20.000                -09:21:50.681                  -12.000000
1 Jul 2020 11:07:30.000                -09:23:50.681                  -12.000000
1 Jul 2020 11:07:40.000                -09:25:50.681                  -12.000000
1 Jul 2020 11:07:50.000                -09:27:50.681                  -12.000000
1 Jul 2020 11:08:00.000                -09:29:50.681                  -12.000000
1 Jul 2020 11:08:10.000                -09:31:50.681                  -12.000000
1 Jul 2020 11:08:20.000                -09:33:50.681                  -12.000000
1 Jul 2020 11:08:30.000                -09:35:50.681                  -12.000000
1 Jul 2020 11:08:40.000                -09:37:50.681                  -12.000000
1 Jul 2020 11:08:50.000                -09:39:50.681                  -12.000000
1 Jul 2020 11:09:00.000                -09:41:50.681                  -12.000000
1 Jul 2020 11:09:10.000                -09:43:50.681                  -12.000000
1 Jul 2020 11:09:20.000                -09:45:50.681                  -12.000000
1 Jul 2020 11:09:30.000                -09:47:50.681                  -12.000000
1 Jul 2020 11:09:40.000                -09:49:50.681                  -12.000000
1 Jul 2020 11:09:50.000                -09:51:50.681                  -12.000000
1 Jul 2020 11:10:00.000                -09:53:50.681                  -12.000000
1 Jul 2020 11:10:10.000                -09:55:50.681                  -12.000000
1 Jul 2020 11:10:20.000                -09:57:50.681                  -12.000000
