                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 10:16:50.000            -00:22:26.147               -5.000000
1 Jul 2020 10:17:00.000            -00:23:16.147               -5.000000
1 Jul 2020 10:17:10.000            -00:24:06.147               -5.000000
1 Jul 2020 10:17:20.000            -00:24:56.147               -5.000000
1 Jul 2020 10:17:30.000            -00:25:46.147               -5.000000
1 Jul 2020 10:17:40.000            -00:26:36.147               -5.000000
1 Jul 2020 10:17:50.000            -00:27:26.147               -5.000000
1 Jul 2020 10:18:00.000            -00:28:16.147               -5.000000
1 Jul 2020 10:18:10.000            -00:29:06.147               -5.000000
1 Jul 2020 10:18:20.000            -00:29:56.147               -5.000000
1 Jul 2020 10:18:30.000            -00:30:46.147               -5.000000
1 Jul 2020 10:18:40.000            -00:31:36.147               -5.000000
1 Jul 2020 10:18:50.000            -00:32:26.147               -5.000000
1 Jul 2020 10:19:00.000            -00:33:16.147               -5.000000
1 Jul 2020 10:19:10.000            -00:34:06.147               -5.000000
1 Jul 2020 10:19:20.000            -00:34:56.147               -5.000000
1 Jul 2020 10:19:30.000            -00:35:46.147               -5.000000
1 Jul 2020 10:19:40.000            -00:36:36.147               -5.000000
1 Jul 2020 10:19:50.000            -00:37:26.147               -5.000000
1 Jul 2020 10:20:00.000            -00:38:16.147               -5.000000
1 Jul 2020 10:20:10.000            -00:39:06.147               -5.000000
1 Jul 2020 10:20:20.000            -00:39:56.147               -5.000000
1 Jul 2020 10:20:30.000            -00:40:13.737                0.000000
1 Jul 2020 10:20:40.000            -00:40:13.737                0.000000
1 Jul 2020 10:20:50.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:00.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:10.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:20.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:30.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:40.000            -00:40:13.737                0.000000
1 Jul 2020 10:21:50.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:00.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:10.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:20.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:30.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:40.000            -00:40:13.737                0.000000
1 Jul 2020 10:22:50.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:00.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:10.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:20.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:30.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:40.000            -00:40:13.737                0.000000
1 Jul 2020 10:23:50.000            -00:40:13.737                0.000000
1 Jul 2020 10:24:00.000            -00:40:13.737                0.000000
1 Jul 2020 10:24:10.000            -00:40:17.753               -5.000000
