                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
1 Jul 2020 10:15:10.000                 -05:48:49.850                   -23.000000
1 Jul 2020 10:15:20.000                 -05:52:39.850                   -23.000000
1 Jul 2020 10:15:30.000                 -05:56:29.850                   -23.000000
1 Jul 2020 10:15:40.000                 -06:00:19.850                   -23.000000
1 Jul 2020 10:15:50.000                 -06:04:09.850                   -23.000000
1 Jul 2020 10:16:00.000                 -06:07:59.850                   -23.000000
1 Jul 2020 10:16:10.000                 -06:11:49.850                   -23.000000
1 Jul 2020 10:16:20.000                 -06:15:39.850                   -23.000000
1 Jul 2020 10:16:30.000                 -06:19:29.850                   -23.000000
1 Jul 2020 10:16:40.000                 -06:23:19.850                   -23.000000
1 Jul 2020 10:16:50.000                 -06:27:09.850                   -23.000000
1 Jul 2020 10:17:00.000                 -06:30:59.850                   -23.000000
1 Jul 2020 10:17:10.000                 -06:34:49.850                   -23.000000
1 Jul 2020 10:17:20.000                 -06:38:39.850                   -23.000000
1 Jul 2020 10:17:30.000                 -06:42:29.850                   -23.000000
1 Jul 2020 10:17:40.000                 -06:46:19.850                   -23.000000
1 Jul 2020 10:17:50.000                 -06:50:09.850                   -23.000000
1 Jul 2020 10:18:00.000                 -06:53:59.850                   -23.000000
1 Jul 2020 10:18:10.000                 -06:57:49.850                   -23.000000
1 Jul 2020 10:18:20.000                 -07:01:39.850                   -23.000000
1 Jul 2020 10:18:30.000                 -07:05:29.850                   -23.000000
1 Jul 2020 10:18:40.000                 -07:09:19.850                   -23.000000
1 Jul 2020 10:18:50.000                 -07:13:09.850                   -23.000000
1 Jul 2020 10:19:00.000                 -07:16:59.850                   -23.000000
1 Jul 2020 10:19:10.000                 -07:20:49.850                   -23.000000
1 Jul 2020 10:19:20.000                 -07:24:39.850                   -23.000000
1 Jul 2020 10:19:30.000                 -07:28:29.850                   -23.000000
1 Jul 2020 10:19:40.000                 -07:32:19.850                   -23.000000
1 Jul 2020 10:19:50.000                 -07:36:09.850                   -23.000000
1 Jul 2020 10:20:00.000                 -07:39:59.850                   -23.000000
1 Jul 2020 10:20:10.000                 -07:43:49.850                   -23.000000
1 Jul 2020 10:20:20.000                 -07:47:39.850                   -23.000000
1 Jul 2020 10:20:30.000                 -07:51:29.850                   -23.000000
1 Jul 2020 10:20:40.000                 -07:55:19.850                   -23.000000
1 Jul 2020 10:20:50.000                 -07:59:09.850                   -23.000000
1 Jul 2020 10:21:00.000                 -08:02:59.850                   -23.000000
1 Jul 2020 10:21:10.000                 -08:06:49.850                   -23.000000
1 Jul 2020 10:21:20.000                 -08:10:39.850                   -23.000000
1 Jul 2020 10:21:30.000                 -08:14:29.850                   -23.000000
1 Jul 2020 10:21:40.000                 -08:18:19.850                   -23.000000
1 Jul 2020 10:21:50.000                 -08:22:09.850                   -23.000000
1 Jul 2020 10:22:00.000                 -08:25:59.850                   -23.000000
1 Jul 2020 10:22:10.000                 -08:29:49.850                   -23.000000
1 Jul 2020 10:22:20.000                 -08:33:39.850                   -23.000000
1 Jul 2020 10:22:30.000                 -08:37:29.850                   -23.000000
1 Jul 2020 10:22:40.000                 -08:41:19.850                   -23.000000
1 Jul 2020 10:22:50.000                 -08:45:09.850                   -23.000000
1 Jul 2020 10:23:00.000                 -08:48:59.850                   -23.000000
1 Jul 2020 10:23:10.000                 -08:52:49.850                   -23.000000
1 Jul 2020 10:23:20.000                 -08:56:39.850                   -23.000000
1 Jul 2020 10:23:30.000                 -09:00:29.850                   -23.000000
1 Jul 2020 10:23:40.000                 -09:04:19.850                   -23.000000
1 Jul 2020 10:23:50.000                 -09:08:09.850                   -23.000000
1 Jul 2020 10:24:00.000                 -09:11:59.850                   -23.000000
1 Jul 2020 10:24:10.000                 -09:15:49.850                   -23.000000
1 Jul 2020 10:24:20.000                 -09:19:39.850                   -23.000000
1 Jul 2020 10:24:30.000                 -09:23:29.850                   -23.000000
1 Jul 2020 10:24:40.000                 -09:27:19.850                   -23.000000
1 Jul 2020 10:24:50.000                 -09:31:09.850                   -23.000000
1 Jul 2020 10:25:00.000                 -09:34:59.850                   -23.000000
1 Jul 2020 10:25:10.000                 -09:38:49.850                   -23.000000
1 Jul 2020 10:25:20.000                 -09:42:39.850                   -23.000000
1 Jul 2020 10:25:30.000                 -09:46:29.850                   -23.000000
1 Jul 2020 10:25:40.000                 -09:50:19.850                   -23.000000
1 Jul 2020 10:25:50.000                 -09:54:09.850                   -23.000000
1 Jul 2020 10:26:00.000                 -09:57:59.850                   -23.000000
1 Jul 2020 10:26:10.000                 -10:01:49.850                   -23.000000
1 Jul 2020 10:26:20.000                 -10:05:39.850                   -23.000000
1 Jul 2020 10:26:30.000                 -10:09:29.850                   -23.000000
1 Jul 2020 10:26:40.000                 -10:13:19.850                   -23.000000
1 Jul 2020 10:26:50.000                 -10:17:09.850                   -23.000000
1 Jul 2020 10:27:00.000                 -10:20:59.850                   -23.000000
1 Jul 2020 10:27:10.000                 -10:24:49.850                   -23.000000
1 Jul 2020 10:27:20.000                 -10:28:39.850                   -23.000000
1 Jul 2020 10:27:30.000                 -10:32:29.850                   -23.000000
1 Jul 2020 10:27:40.000                 -10:36:19.850                   -23.000000
1 Jul 2020 10:27:50.000                 -10:40:09.850                   -23.000000
1 Jul 2020 10:28:00.000                 -10:43:59.850                   -23.000000
1 Jul 2020 10:28:10.000                 -10:47:49.850                   -23.000000
1 Jul 2020 10:28:20.000                 -10:51:39.850                   -23.000000
1 Jul 2020 10:28:30.000                 -10:55:29.850                   -23.000000
1 Jul 2020 10:28:40.000                 -10:59:19.850                   -23.000000
1 Jul 2020 10:28:50.000                 -11:03:09.850                   -23.000000
1 Jul 2020 10:29:00.000                 -11:06:59.850                   -23.000000
1 Jul 2020 10:29:10.000                 -11:10:49.850                   -23.000000
1 Jul 2020 10:29:20.000                 -11:14:39.850                   -23.000000
1 Jul 2020 10:29:30.000                 -11:18:29.850                   -23.000000
1 Jul 2020 10:29:40.000                 -11:22:19.850                   -23.000000
1 Jul 2020 10:29:50.000                 -11:26:09.850                   -23.000000
1 Jul 2020 10:30:00.000                 -11:29:59.850                   -23.000000
1 Jul 2020 10:30:10.000                 -11:33:49.850                   -23.000000
1 Jul 2020 10:30:20.000                 -11:37:39.850                   -23.000000
1 Jul 2020 10:30:30.000                 -11:41:29.850                   -23.000000
1 Jul 2020 10:30:40.000                 -11:45:19.850                   -23.000000
1 Jul 2020 10:30:50.000                 -11:49:09.850                   -23.000000
1 Jul 2020 10:31:00.000                 -11:52:59.850                   -23.000000
1 Jul 2020 10:31:10.000                 -11:56:49.850                   -23.000000
1 Jul 2020 10:31:20.000                 -12:00:39.850                   -23.000000
1 Jul 2020 10:31:30.000                 -12:04:29.850                   -23.000000
1 Jul 2020 10:31:40.000                 -12:08:19.850                   -23.000000
1 Jul 2020 10:31:50.000                 -12:12:09.850                   -23.000000
1 Jul 2020 10:32:00.000                 -12:15:59.850                   -23.000000
1 Jul 2020 10:32:10.000                 -12:19:49.850                   -23.000000
1 Jul 2020 10:32:20.000                 -12:23:39.850                   -23.000000
1 Jul 2020 10:32:30.000                 -12:27:29.850                   -23.000000
1 Jul 2020 10:32:40.000                 -12:31:19.850                   -23.000000
1 Jul 2020 10:32:50.000                 -12:35:09.850                   -23.000000
1 Jul 2020 10:33:00.000                 -12:38:59.850                   -23.000000
1 Jul 2020 10:33:10.000                 -12:42:49.850                   -23.000000
1 Jul 2020 10:33:20.000                 -12:46:39.850                   -23.000000
1 Jul 2020 10:33:30.000                 -12:50:29.850                   -23.000000
1 Jul 2020 10:33:40.000                 -12:54:19.850                   -23.000000
1 Jul 2020 10:33:50.000                 -12:58:09.850                   -23.000000
1 Jul 2020 10:34:00.000                 -13:01:59.850                   -23.000000
1 Jul 2020 10:34:10.000                 -13:05:49.850                   -23.000000
1 Jul 2020 10:34:20.000                 -13:09:39.850                   -23.000000
1 Jul 2020 10:34:30.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:34:40.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:34:50.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:00.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:10.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:20.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:30.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:40.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:35:50.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:36:00.000                 -13:11:57.455                     0.000000
1 Jul 2020 10:36:10.000                 -13:12:53.142                   -23.000000
